# Receiver Set: rota1                                                            
#   Rx#      X(m)           Y(m)          Z(m)     Distance (m) Power (dBm)  Phase (Deg.)
     1  0.1326452E+03 -0.8879996E+02       2.000       0.00          8.68       -138.45
     2  0.1331452E+03 -0.8880344E+02       2.000       0.50          8.60        -56.09
     3  0.1336451E+03 -0.8880692E+02       2.000       1.00          7.06         88.24
     4  0.1341451E+03 -0.8881040E+02       2.000       1.50          5.53       -121.43
     5  0.1346451E+03 -0.8881388E+02       2.000       2.00          6.47         17.95
     6  0.1351451E+03 -0.8881736E+02       2.000       2.50          6.73       -123.16
     7  0.1356451E+03 -0.8882084E+02       2.000       3.00          7.09        -97.05
     8  0.1361451E+03 -0.8882432E+02       2.000       3.50          7.45         73.48
     9  0.1366451E+03 -0.8882780E+02       2.000       4.00          5.37        -74.70
    10  0.1371451E+03 -0.8883128E+02       2.000       4.50          4.95         94.87
    11  0.1376451E+03 -0.8883476E+02       2.000       5.00          4.54         63.18
    12  0.1381450E+03 -0.8883824E+02       2.000       5.50         13.13        -46.43
    13  0.1386450E+03 -0.8884172E+02       2.000       6.00          9.53        137.46
    14  0.1391450E+03 -0.8884520E+02       2.000       6.50         10.34        -53.21
    15  0.1396450E+03 -0.8884868E+02       2.000       7.00         11.15         -2.38
    16  0.1401450E+03 -0.8885216E+02       2.000       7.50         14.97       -173.08
    17  0.1406450E+03 -0.8885564E+02       2.000       8.00         13.71         15.53
    18  0.1411450E+03 -0.8885912E+02       2.000       8.50          6.43       -146.17
    19  0.1416450E+03 -0.8886259E+02       2.000       9.00          4.60        147.98
    20  0.1421449E+03 -0.8886607E+02       2.000       9.50         10.91         26.15
    21  0.1426449E+03 -0.8886955E+02       2.000      10.00          7.02       -168.86
    22  0.1431449E+03 -0.8887303E+02       2.000      10.50          8.13        -80.71
    23  0.1436449E+03 -0.8887651E+02       2.000      11.00          9.24         48.67
    24  0.1441449E+03 -0.8887999E+02       2.000      11.50          8.90       -144.05
    25  0.1446449E+03 -0.8888347E+02       2.000      12.00          2.55         -7.26
    26  0.1451449E+03 -0.8888695E+02       2.000      12.50          7.08         86.88
    27  0.1456449E+03 -0.8889043E+02       2.000      13.00          7.42       -126.67
    28  0.1461448E+03 -0.8889391E+02       2.000      13.50          6.50        -33.01
    29  0.1466448E+03 -0.8889738E+02       2.000      14.00          7.54        -92.77
    30  0.1471448E+03 -0.8890086E+02       2.000      14.50          8.59        -98.92
    31  0.1476448E+03 -0.8890434E+02       2.000      15.00         13.23         87.77
    32  0.1481448E+03 -0.8890782E+02       2.000      15.50          6.70       -127.40
    33  0.1486448E+03 -0.8891130E+02       2.000      16.00          8.87        -70.97
    34  0.1491448E+03 -0.8891478E+02       2.000      16.50         10.22         77.90
    35  0.1496448E+03 -0.8891826E+02       2.000      17.00          6.39       -146.93
    36  0.1501447E+03 -0.8892174E+02       2.000      17.50          7.66        -50.61
    37  0.1506447E+03 -0.8892522E+02       2.000      18.00         12.24         66.76
    38  0.1511447E+03 -0.8892870E+02       2.000      18.50         11.74        -90.54
    39  0.1516447E+03 -0.8893217E+02       2.000      19.00         11.38        -67.45
    40  0.1521447E+03 -0.8893565E+02       2.000      19.50         11.01        127.23
    41  0.1526447E+03 -0.8893913E+02       2.000      20.00         12.92        -62.34
    42  0.1531447E+03 -0.8894261E+02       2.000      20.50         10.39         78.13
    43  0.1536447E+03 -0.8894609E+02       2.000      21.00          7.86        129.41
    44  0.1541447E+03 -0.8894957E+02       2.000      21.50         11.64        -84.42
    45  0.1546446E+03 -0.8895305E+02       2.000      22.00         12.13         64.00
    46  0.1551446E+03 -0.8895653E+02       2.000      22.50         10.69       -151.68
    47  0.1556446E+03 -0.8896001E+02       2.000      23.00          9.45        -30.22
    48  0.1561446E+03 -0.8896349E+02       2.000      23.50          5.64         87.83
    49  0.1566446E+03 -0.8896696E+02       2.000      24.00          9.10       -154.65
