Distance(m)    Path_Loss(dB)
19.0286	        77.9489
19.8066		      75.1448
20.5847		      73.8755
21.3628		      74.4638
22.1408		      74.7109
22.9189		      75.2832
23.6970		      73.5502
24.475		      73.5502
25.2531		      72.6235
26.0312		      74.4868
26.8092		      74.2401
27.5873		      70.9222
28.3654		      74.5018
29.1434		      73.5099
29.9215		      71.5002
30.6996		      73.5909
31.4776		      74.4697
32.2557		      75.7361
33.0338		      76.3077
33.8118		      79.5294
34.5899		      78.3096
35.3680		      79.0405
36.1460		      79.8600
36.9241		      80.4634
37.7022		      78.2993
38.4802		      80.0740
39.2583		      81.7531



















































